epoch,training_loss
1,0.2550844192504883
2,0.24991323947906494
3,0.24097590446472167
4,0.24214518070220947
5,0.25807747840881345
6,0.24884214401245117
7,0.24968385696411133
8,0.25365571975708007
9,0.24180502891540528
10,0.2251121997833252
11,0.226727294921875
12,0.20943548679351806
13,0.20862970352172852
14,0.20106704235076905
15,0.20396406650543214
16,0.21080389022827148
17,0.2084524154663086
18,0.19269120693206787
19,0.1917259693145752
20,0.1819469451904297
21,0.17966440916061402
22,0.21134412288665771
23,0.17270009517669677
24,0.1891937732696533
25,0.1780056595802307
26,0.15549306869506835
27,0.1542962908744812
28,0.15273971557617189
29,0.14156521558761598
30,0.1582127332687378
31,0.1343446135520935
32,0.1275528073310852
33,0.130683434009552
34,0.12359862327575684
35,0.11597461700439453
36,0.09608156681060791
37,0.08859465122222901
38,0.0943577766418457
39,0.0857813000679016
40,0.075931715965271
41,0.07163286805152894
42,0.06333032846450806
43,0.06163802742958069
44,0.056244289875030516
45,0.058515286445617674
46,0.05001522302627563
47,0.0474780261516571
48,0.05761217474937439
49,0.045612645149230954
50,0.04504813849925995
51,0.04252367615699768
52,0.0495724081993103
53,0.05153525471687317
54,0.040038195252418515
55,0.047420382499694824
56,0.037487137317657473
57,0.04109802842140198
58,0.041703855991363524
59,0.03623229265213013
60,0.035478800535202026
61,0.037303268909454346
62,0.03416280150413513
63,0.035381880402565
64,0.035834518074989316
65,0.03477395176887512
66,0.04159449338912964
67,0.032279208302497864
68,0.030629295110702514
69,0.030586791038513184
70,0.031244838237762453
71,0.032283061742782594
72,0.02901424765586853
73,0.02831965684890747
74,0.031524112820625304
75,0.026928162574768065
76,0.027862322330474854
77,0.031876206398010254
78,0.029522857069969176
79,0.029988622665405272
80,0.025776970386505126
81,0.027263164520263672
82,0.025115862488746643
83,0.024991264939308165
84,0.02598612904548645
85,0.0243083655834198
86,0.02460094392299652
87,0.02400948405265808
88,0.023939798772335052
89,0.023585042357444762
90,0.02607479691505432
91,0.026050227880477905
92,0.025264629721641542
93,0.03458006381988525
94,0.02332906424999237
95,0.02281199097633362
96,0.02400604635477066
97,0.022416608035564424
98,0.023152342438697814
99,0.021916525065898897
100,0.02827424108982086
