index,concepts
0,1246.0
1,2137.0947647448643
2,1342.0
3,0.449
4,1569.0
5,6.6
6,1023.0
7,5.8
8,2696.0
9,22.6
10,3023.0
11,26.8
12,2877.0
13,6.2
14,1092.0
15,26.67
16,2299.0
17,1.0
18,2426.0
19,0.0
20,1685.0
21,198.0
22,1328.0
23,2.0
24,2293.0
25,6.8
26,1162.0
27,7.0
28,2858.0
29,29.0
30,2861.0
31,1473.0
32,490.0
33,1428.0
34,738.0
35,1726.0
36,128.0
37,1699.0
38,2294.0
39,4.0
40,2688.0
41,2338.0
42,3.0
43,3181.0
44,5.5
45,1705.0
46,3.7
47,1159.0
48,2949.0
49,5.6
50,1871.0
51,305.0
52,1436.0
53,7.93
54,1563.0
55,1.267
56,3352.0
57,2335.0
58,52.0
59,2704.0
60,27.4
61,3025.0
62,461.0
63,1565.0
64,3.1
65,1448.0
66,28.0
67,1547.0
68,0.03
69,2307.0
70,2051.0
71,0.52
72,3366.0
73,82.0
74,1393.0
75,7.7
76,2651.0
77,28.2
78,2306.0
79,1094.0
80,0.264
81,2053.0
82,350.0
83,1438.0
84,1026.0
85,3377.0
86,19.9
87,3185.0
88,0.1
89,1861.0
90,2653.0
91,21.0
92,7920.0
93,1476.0
94,29.9
95,2270.0
96,2290.0
97,4.3
98,2297.0
99,56.0
100,1892.0
101,92.0
102,2676.0
103,28.5
104,2445.0
105,425.0
106,2714.0
107,180.0
108,2703.0
109,0.3
110,1093.0
111,6.3
112,1403.0
113,1456.0
114,0.67
115,2301.0
116,3362.0
117,19.0
118,1155.0
119,28.57
120,1642.0
121,7.1
122,1330.0
123,1024.0
124,4.7
125,2672.0
126,26.5
127,2286.0
128,26.6
129,1631.0
130,7.3
131,0.7
132,2671.0
133,1152.0
134,0.28
135,2050.0
136,7.767
137,2199.0
138,22.1
139,6.033
140,1543.0
141,0.09
142,3373.0
143,0.23
144,1443.0
145,1148.0
146,4545.0
147,2296.0
148,26.4
149,2462.0
150,2625.0
151,0.51
152,3382.0
153,1926.0
154,1450.0
155,6.7
156,854.0
157,1340.0
158,1700.0
159,1156.0
160,2466.0
161,27.0
162,2709.0
163,7.2
164,2326.0
165,666.0
166,2423.0
167,7.5
168,1160.0
169,111.0
170,1927.0
171,2686.0
172,26.9
173,0.22
174,1545.0
175,28.7
176,1643.0
177,231.0
178,3183.0
179,28.6
180,1564.0
181,2701.0
182,1885.0
183,288.0
184,22.0
185,2337.0
186,1458.0
187,23.0
188,1154.0
189,1625.0
190,1.9
191,5.7
192,2859.0
193,6.0
194,2304.0
195,22576.0
196,1455.0
197,1870.0
198,788.0
199,1161.0
200,2162.0
201,2052.0
202,2685.0
203,25.8
204,1628.0
205,1400.0
206,4.77
207,0.5
208,2465.0
209,2048.0
210,1442.0
211,80.0
212,1702.0
213,905.0
214,20.0
215,0.44
216,0.62
217,1149.0
218,27.5
219,1704.0
220,1925.0
221,8.2
222,1.4
223,1339.0
224,26.0
